,msa,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,msa_name,msa_state,code
47,"Elmira, NY",2.2,3.4,4.6,4.6,4.6,1.1,4.5,0,1.1,2.3,3.5,Elmira,NY,21300
48,"Erie, PA",1.4,1.8,3.2,3.6,4.6,2.8,3.9,1.4,4.6,4,4,Erie,PA,21500
49,"Fairbanks, AK",3,15.1,8,0,0,5.8,8.7,0,11.5,2.9,20.2,Fairbanks,AK,21820
50,"Fargo, ND-MN",1.1,1.6,0,1,1,0.5,0.9,1.8,2.2,2.6,2.1,Fargo,"ND,MN",22020
51,"Farmington, NM",3.1,12.5,6.5,2.4,3.2,3.8,4.7,4.7,4,4.1,1.7,Farmington,NM,22140
52,"Flagstaff, AZ",2.3,2.4,2.3,4.7,4.8,3.7,2.9,2.2,5.8,2.2,2.1,Flagstaff,AZ,22380
53,"Flint, MI",15.4,8.4,8.6,10.3,13.8,15,16.3,13.7,7.7,12.9,13.2,Flint,MI,22420
54,"Fond du Lac, WI",1,0,1,2,1,2,0,1,2,1,1,Fond du Lac,WI,22540
56,"Fort Smith, AR-OK",5.9,2.7,2.4,3.4,4.7,3,2.8,2.1,2.1,3.2,5,Fort Smith,"AR,OK",22900
57,"Fort Wayne, IN",4.7,6.3,6.1,5.3,6,6.2,5.7,8,3,6.5,11.4,Fort Wayne,IN,23060
58,"Fresno, CA",8.4,8.1,7.2,7.5,6.8,5.5,8,6,6.1,6.1,6.4,Fresno,CA,23420
59,"Gainesville, FL",5.7,2.9,2.3,2.7,4.9,4.9,3.7,3.7,4,1.4,1.8,Gainesville,FL,23540
60,"Glens Falls, NY",1.6,3.9,1.5,0,0,9.3,5.4,0.8,0,0.8,1.6,Glens Falls,NY,24020
61,"Goldsboro, NC",6,16.5,9.7,12.3,7,8.1,16,6.4,5.6,8.8,8.8,Goldsboro,NC,24140
62,"Grand Forks, ND-MN",2.1,2.1,1,0,1,0,1,1,1,2.9,1,Grand Forks,"ND,MN",24220
63,"Grand Junction, CO",4.5,1.5,4.9,1.4,2,2,3.4,2.7,2,1.3,6,Grand Junction,CO,24300
64,"Great Falls, MT",2.5,2.5,2.4,8.5,4.8,2.4,1.2,0,0,7.3,4.8,Great Falls,MT,24500
65,"Greeley, CO",1.7,2.8,2.4,2.7,1.2,2.3,2.3,0.7,1.8,1.8,1.4,Greeley,CO,24540
66,"Green Bay, WI",0.7,1.3,0.7,1.6,1,0.7,2.3,0.6,1,1.3,2.5,Green Bay,WI,24580
67,"Harrisonburg, VA",4.4,0,1.7,1.7,0.8,1.6,0.8,0.8,2.3,0.8,2.3,Harrisonburg,VA,25500
68,"Hartford-West Hartford-East Hartford, CT",3.8,4.6,4.2,4.6,4.5,3.5,3.6,3.4,3.8,4.4,2.3,Hartford-West Hartford-East Hartford,CT,25540
69,"Huntsville, AL",5.4,8.1,4.8,5.2,5.3,4.5,5.1,6.2,5.2,6.1,4.9,Huntsville,AL,26620
70,"Idaho Falls, ID",1.7,0.8,1.6,1.6,2.3,4.5,0,2.2,0,1.4,0.7,Idaho Falls,ID,26820
