,msa,pop,r1,r2,r3,r4,r5,r6,r7,m1,m2,m3,m4,m5,i1,i2,e1,e2,e3,e4,e5,a1,a2,a3,a4,a5,a6,a7,e6,vr,mtof,year
0,10180,158548,0.7418384337866135,0.06829477508388626,0.003569896813583268,0.014292201730706158,0.0,0.1482642480510634,0.02374044453414739,0.4025783989706587,0.06169109670257587,0.08620733153366804,0.015030148598531676,0.22461967353735146,52364.0,20320.0,0.07499873090004569,0.14500228437991777,0.28600436570384286,0.14100208132392508,0.06600335042387938,0.08268158538739057,0.08700835078335899,0.06814970860559579,0.06183616318086636,0.1273179100335545,0.18782324595706032,0.17610439740646366,0.28800446723183915,0.11069836552748885,0.9909086342860013,2006
1,10380,336502,0.8965266179695811,0.01996124837296658,0.003123309816880732,0.0007577963875400444,0.0,0.05868612965153253,0.02094489780149895,0.35595330785552537,0.05524781427747829,0.08602920636430096,0.036305876339516555,0.2557191339130228,18269.0,6205.0,0.3269990801388574,0.116998016982763,0.24999884439554954,0.12199947304437059,0.03399788293264675,0.07654932214370197,0.06980642016986525,0.06977075916339279,0.07004713196355446,0.13911061449857653,0.18859323272967174,0.17537785808108125,0.15100052233321162,0.15970714206013373,0.9815682856739059,2006
2,10420,700943,0.8448661303415541,0.11687968921866686,0.0021285610955527052,0.017714707187317658,0.0005635265635008838,0.0062701246749022384,0.0115772609185055,0.4100490339442722,0.0558062495809217,0.08977477483903827,0.01213222758483928,0.24182422821827168,58859.0,24204.0,0.02400082317935878,0.08899983707908524,0.3439989367266616,0.18199981135473028,0.0920010118246285,0.07153220732641599,0.07173479155937074,0.06340601161578045,0.05866953518331733,0.14302732176510785,0.22324497141707672,0.17716133836845507,0.26899957983553563,0.08418934695128712,0.9292504761590206,2006
3,10500,165062,0.4859567919933116,0.4941355369497522,0.0015569907065223977,0.006355187747634222,0.0,0.0034532478704971466,0.008542244732282414,0.3560783220850347,0.0633398359404345,0.08187226617876919,0.022397644521452546,0.24794319710169513,49529.0,19022.0,0.07000345866890656,0.12200207520134394,0.3149958001877563,0.11999604723553535,0.06899550373042146,0.09976857180938072,0.05956549660127709,0.0630914444269426,0.05954732161248501,0.1339678423864972,0.19767117810277351,0.15879487707649248,0.30299916003755123,0.11124351503349658,0.9084518441438316,2006
4,10580,850957,0.867236534866039,0.07021623889338709,0.0023784985610318735,0.030760661232001146,0.00015864491390281765,0.01444021260768758,0.01480920892595043,0.39642426115538154,0.05192271759912663,0.07747159962254262,0.01730757253304221,0.28104122770010703,64965.0,26756.0,0.032000823621176136,0.06899921302298637,0.3049998342287887,0.17799989181247264,0.14600081315141542,0.07627529945696433,0.07443971904573321,0.06801753790144507,0.0612251852913837,0.1447264667897438,0.22047294986703206,0.17901022025789787,0.27100103127143027,0.10621566360984074,0.9439248707030464,2006
5,10740,815430,0.6579706412567602,0.02682878971830813,0.06142893933262205,0.019226665685589197,0.0005187447113792722,0.19743202972664728,0.03659418956869382,0.37440368885128095,0.043627288669781585,0.10391327275179967,0.013484909802190255,0.2577989526998026,58745.0,23735.0,0.059999697563114796,0.09399927415147552,0.25299979585510246,0.16400018146213113,0.12900067292206957,0.07218645377285604,0.07226003458298076,0.072939430729799,0.06580699753504286,0.14139043204199012,0.20667132678464123,0.161973437327545,0.30100030999780736,0.08346547332978402,0.9670149945000869,2006
6,10780,150827,0.6717961638168233,0.29151942291499533,0.00771745111949452,0.00818155900468749,0.0005171487863578802,0.01162921758040669,0.008639036777234845,0.3641721972856319,0.05348511871216692,0.11011954093100042,0.02123625080390116,0.23753704575440737,48846.0,19034.0,0.05300346056505346,0.147998553793709,0.3510045968699964,0.11000464852022106,0.062000929704044215,0.07198313299342955,0.07273896583502953,0.06945042996280507,0.060247833610693045,0.13425978107368045,0.2009786046264926,0.1768914053849775,0.2759981405919116,0.12912734000188142,0.9443735416586095,2006
7,10900,800336,0.8609434037704164,0.04040677915275584,0.0008171567941464585,0.02279542592111313,0.00031861618120389436,0.05944628256132425,0.015272335619040003,0.424779092781032,0.05554791987365307,0.07515343555706604,0.020422672477559425,0.24098003838387877,65491.0,25750.0,0.04600017940930402,0.09799958626017645,0.3689991706896457,0.15399908830782244,0.0889998297442319,0.07155494692229264,0.06281861618120389,0.060848193758621376,0.05988109993802603,0.15262464764798783,0.2161779552587913,0.19297769936626616,0.24400031488163565,0.07323119819369307,0.9558457681047502,2006
8,11020,126494,0.9687257893655035,0.014253640488876942,0.0012095435356617706,0.006095150758138726,0.0004189922051638813,0.0025534807975081822,0.006743402849146995,0.41638338577323825,0.07915790472275365,0.07998007810647145,0.014838648473445381,0.2341613040934748,49084.0,20174.0,0.03399516946557961,0.08800417285602513,0.4850037986596968,0.12500425223100387,0.05299980723219449,0.0686119499739118,0.05873005834268819,0.06682530396698658,0.056975034388982874,0.13293911173652506,0.22001834079086754,0.22042152196942147,0.21399494267992608,0.0995633965962755,0.916169297421759,2006
9,11100,240981,0.7781941314875447,0.058145662936082095,0.005780538714670451,0.020246409467966353,0.0008838871114320216,0.11340313136720323,0.02334623891510119,0.4001850768317834,0.04671322635394492,0.09109431863922882,0.02647096659072707,0.21332802171125526,54713.0,20940.0,0.06799941631402305,0.11399785097435762,0.28300147248053276,0.14099996020322886,0.06399984081291538,0.07492291923429648,0.07801444927193431,0.07659525024794486,0.06410463895493836,0.1362763039409746,0.1950610214083268,0.15359717156124342,0.3290065399360598,0.10265635922529709,0.9777668349132094,2006
10,11180,80145,0.8962505458855824,0.015060203381371264,0.0006113918522677647,0.06404641587123339,0.0,0.014648449684946035,0.009382993324599164,0.3792001996381558,0.036558737288664295,0.05526233701416183,0.006800174683386362,0.3724000249547695,54878.0,22706.0,0.016992079572665315,0.034007183643396575,0.21900902560324184,0.2750046048996132,0.18398876404494383,0.1175120094828124,0.19079169006176305,0.07417805228024206,0.05391477946222472,0.10505957951213425,0.16958013600349367,0.13918522677646766,0.2709983422361392,0.05898139137102244,1.0589066433746082,2006
11,11260,359180,0.740185979174787,0.04400579096831672,0.04954062030179854,0.049145275349406985,0.008305028119605769,0.01670471629823487,0.0921125897878501,0.3989420346344451,0.02978450915975277,0.0940531209978284,0.013324795367225346,0.24767247619577928,79076.0,29036.0,0.03399906277196349,0.06799812554392698,0.260000446299065,0.19500145047196127,0.1060004909289715,0.08170276741466674,0.07824767526031516,0.07575867253187817,0.06934962971212205,0.1525391168773317,0.2234562058021048,0.10272008463722924,0.3380001338897195,0.10646645607050644,1.0404244682784949,2006
12,11300,130575,0.8884319356691557,0.08574382538770821,0.0005743825387708214,0.002190312081179399,0.0,0.01253685621290446,0.010522688110281448,0.4031246410109133,0.06407811602527283,0.12004595060310166,0.019467738847405706,0.20520773501818879,49252.0,20146.0,0.046997067579970006,0.1090032010386587,0.42599556779262643,0.0989971571195129,0.06600183556062947,0.0655255600229753,0.06133639670687344,0.06644457208500862,0.06174229370093816,0.13483438636798775,0.21880145510243154,0.202427723530538,0.25400129832337204,0.12277000455703893,0.985750349777967,2006
13,11340,177963,0.8072520692503498,0.15531880222293398,0.0019947966712181744,0.0061866792535527045,0.0,0.00981664728061451,0.019431005321330838,0.44822238330439473,0.05491590948680344,0.07510549945775245,0.027460764316178082,0.20271067581463562,49852.0,19814.0,0.0660010181794295,0.14700376069498958,0.35499975366626707,0.12499794721889215,0.05499811144138078,0.06796356546023612,0.055314868821047074,0.07135191022853064,0.06645763445210522,0.13935480970763586,0.2110101537960138,0.19615875210015565,0.2529929548552379,0.14461325796378807,0.9237579452587884,2006
14,11460,344047,0.7578412251814433,0.12305004839455075,0.002557790069380056,0.08104997282348052,0.0004766790583844649,0.01055669719544132,0.02446758727731967,0.36660688801239366,0.031164346731696543,0.0811953018046953,0.008202367699761952,0.3321581063052432,75354.0,30048.0,0.019000647589372026,0.05199954950304555,0.17499929609850867,0.25400050680907377,0.2620015204272213,0.08630506878420681,0.1144552924455089,0.07157452324827712,0.0738532816737248,0.1485610977569925,0.19554595738372954,0.12985144471540225,0.23700363213169526,0.08421915562235278,1.0005989347103017,2006
15,11500,112903,0.7704489694693675,0.20021611471794373,0.0059785833857382,0.007076871296599736,0.0,0.009096303906893527,0.007183157223457304,0.4172076915582403,0.07248700211686138,0.12081167019476896,0.020938327590940897,0.17316634633269268,48047.0,20205.0,0.07499733957646057,0.14700170267106524,0.3359981909119932,0.10499361498350537,0.08099659465786953,0.06446241463911499,0.07510872164601472,0.06685384799341028,0.05672125629965546,0.13657741601197487,0.2096932765294102,0.19600010628592685,0.25599925508140897,0.12417131233991262,0.9275275719602554,2006
16,11540,217313,0.9290378394297626,0.007003722740931284,0.01405806371454998,0.026399709175244923,0.0,0.014366374768191503,0.00913429017131971,0.45811801410868197,0.038046504350867184,0.07133489482911745,0.007924054244338811,0.21717062485907423,59743.0,24024.0,0.03999887722449896,0.047998652669398754,0.3789998877224499,0.17600207713467692,0.06100179644080166,0.07205735505929235,0.06478213452485586,0.06801249810181627,0.06518708038635516,0.16334043522476796,0.21311656458656408,0.14609802450842793,0.297002189412227,0.042122556634665895,0.987715864188497,2006
